"Company","Responsibility"
"","Project Description"
"","Pipeline Route Selection"
"NOVA Gas Transmission Limited","Public Consultation and Engagement"
"","Environmental Protection Planning"
"","Construction and Post-construction Monitoring Program"
"","Pipeline Route Selection"
"Universal Geomatics Solutions",""
"","Pipeline Route Survey"
"","Soils Assessment"
"","Fisheries and Aquatic Investigation and Assessment"
"","Hydrology Investigation and Assessment"
"","Hydrogeology Assessment"
"","Vegetation Investigation and Assessment"
"","Wetland Investigation and Assessment"
"","Wildlife and Wildlife Habitat Investigation and Assessment"
"Golder Associates Ltd.",""
"","Air Quality Assessment"
"","Acoustic Environment Assessment"
"","Historic Resources Investigation and Assessment"
"","Traditional Land and Resource Use Assessment"
"","Socio-economic Assessment"
"","Environmental Protection Planning"
"","Construction and Post-construction Monitoring Program"
