"Agency","Permit / Approval / Authorization / Notification"
"Federal",""
"","Approval under section 52 of the <s>National Energy Board Act </s>(NEB Act);"
"","Approvals for pipelines that pass in, on, over, under, through or across navigable waters"
"National Energy Board (NEB)","(<s>Navigable Waters Protection Act</s>);"
"","Assessment of potential impacts to fisheries (<s>Fisheries Act</s>) or aquatic species at risk"
"","(<s>Species at Risk Act</s>)"
"Fisheries and Oceans",""
"","Authorization under section 35(2) and section 32 of the<s> Fisheries Act </s>"
"Canada (DFO)",""
"Provincial",""
"Alberta Environment and",""
"","Notification under the <s>Water Act</s> Code of Practice for Pipelines and Telecommunications"
"Sustainable Resource",""
"","Lines Crossing a Water Body (AENV 2000)"
"Development (ESRD)",""
"ESRD","Notification under the <s>Water Act </s>Code of Practice for Watercourse Crossings (AENV 2001)"
"","Notification under the <s>Water Act</s> Code of Practice for the Temporary Diversion of Water for"
"ESRD",""
"","Hydrostatic Testing of Pipelines (AENV 1999)"
"","Approval for land use dispositions under the <s>Public Lands Act:</s> Environmental Field Report"
"ESRD",""
"","for the pipeline (PLA) on public lands"
"Alberta Culture","Clearance under the <s>Historical Resources Act </s>"
